PV_Generation,Loads
0,29
0,23
0,22
0,22
0,22
0,22
0,26
0,35
0,40
1.75,42
5.6,41
4.55,40
1.75,39
0,39
0,41
0,49
0,61
0,65
0,66
0,67
0,69
0,66
0,57
0,44
0,29
0,23
0,22
0,22
0,22
0,22
0,26
0,35
0,40
4.2,42
22.05,41
24.85,40
9.1,39
0,39
0,41
0,49
0,61
0,65
0,66
0,67
0,69
0,66
0,57
0,44
0,29
0,23
0,22
0,22
0,22
0,22
0,26
0,35
0,40
0.35,42
5.95,41
15.75,40
6.3,39
0,39
0,41
0,49
0,61
0,65
0,66
0,67
0,69
0,66
0,57
0,44
0,29
0,23
0,22
0,22
0,22
0,22
0,26
0,35
0,40
7.35,42
31.15,41
36.05,40
17.5,39
0.35,39
0,41
0,49
0,61
0,65
0,66
0,67
0,69
0,66
0,57
0,44
0,29
0,23
0,22
0,22
0,22
0,22
0,26
0,35
0,40
0,42
2.45,41
4.2,40
2.45,39
0,39
0,41
0,49
0,61
0,65
0,66
0,67
0,69
0,66
0,57
0,44
0,35
0,27
0,25
0,23
0,23
0,22
0,23
0,27
0,40
0,51
2.8,54
3.85,54
2.45,54
0,53
0,55
0,60
0,62
0,64
0,65
0,67
0,66
0,61
0,54
0,43
0,35
0,27
0,25
0,23
0,23
0,22
0,23
0,27
0,40
12.95,51
41.65,54
47.95,54
26.25,54
1.75,53
0,55
0,60
0,62
0,64
0,65
0,67
0,66
0,61
0,54
0,43
0,29
0,23
0,22
0,22
0,22
0,22
0,26
0,35
0,40
2.8,42
11.55,41
16.1,40
10.15,39
0.7,39
0,41
0,49
0,61
0,65
0,66
0,67
0,69
0,66
0,57
0,44
0,29
0,23
0,22
0,22
0,22
0,22
0,26
0,35
0,40
15.4,42
47.95,41
58.45,40
36.4,39
4.9,39
0,41
0,49
0,61
0,65
0,66
0,67
0,69
0,66
0,57
0,44
0,29
0,23
0,22
0,22
0,22
0,22
0,26
0,35
0,40
17.15,42
49.35,41
57.05,40
35.35,39
5.25,39
0,41
0,49
0,61
0,65
0,66
0,67
0,69
0,66
0,57
0,44
0,29
0,23
0,22
0,22
0,22
0,22
0,26
0,35
0,40
0,42
1.75,41
4.9,40
7.35,39
1.4,39
0,41
0,49
0,61
0,65
0,66
0,67
0,69
0,66
0,57
0,44
0,29
0,23
0,22
0,22
0,22
0,22
0,26
0,35
0,40
0,42
0.7,41
1.4,40
0.35,39
0,39
0,41
0,49
0,61
0,65
0,66
0,67
0,69
0,66
0,57
0,44
0,35
0,27
0,25
0,23
0,23
0,22
0,23
0,27
0,40
0,51
0,54
0,54
0,54
0,53
0,55
0,60
0,62
0,64
0,65
0,67
0,66
0,61
0,54
0,43
0,35
0,27
0,25
0,23
0,23
0,22
0,23
0,27
0,40
0,51
1.4,54
2.45,54
1.4,54
0,53
0,55
0,60
0,62
0,64
0,65
0,67
0,66
0,61
0,54
